alpha,nu,phi_k,muxi,sigmaxi,a,wss,els
0.25,0.6,2.4,0.11375,0.13134718624063987,0.001,1.506634124119823,7.210010922772374
0.25,0.6,2.4,0.11375,0.1407291281149713,0.001,1.5078610944331599,7.065990741233128
0.25,0.6,2.4,0.11375,0.1501110699893027,0.001,1.508943078987229,6.954704519772882
0.25,0.6,2.4,0.11375,0.15949301186363413,0.001,1.5098418828575555,6.988417091773703
0.25,0.6,2.4,0.11375,0.16887495373796554,0.001,1.5106368363780225,6.961407332306689
0.25,0.6,2.4,0.11375,0.17825689561229696,0.001,1.511347019817461,6.904515569051127
0.25,0.6,2.4,0.11375,0.18763883748662838,0.001,1.5119605824151205,6.954680698145342
0.25,0.6,2.4,0.11375,0.1970207793609598,0.001,1.5125020789584802,7.009022978947455
0.25,0.6,2.4,0.11375,0.20640272123529121,0.001,1.5129712295021747,7.018372272757229
0.25,0.6,2.4,0.11375,0.21578466310962263,0.001,1.5133926113950642,6.96743958378177
0.25,0.6,2.4,0.11375,0.22516660498395408,0.001,1.5137762087054618,6.91952253657448
0.25,0.6,2.4,0.11375,0.2345485468582855,0.001,1.5141283229293614,6.875329771836216
0.25,0.6,2.4,0.11375,0.2439304887326169,0.001,1.51445123603602,6.8393654134151785
0.25,0.6,2.4,0.11375,0.2533124306069483,0.001,1.5147483078615245,6.818033850208567
0.25,0.6,2.4,0.11375,0.26269437248127975,0.001,1.515022383449797,6.804109664861753
0.25,0.6,2.4,0.11375,0.27207631435561114,0.001,1.5152721751060712,6.798483211535039
0.25,0.6,2.4,0.11375,0.2814582562299426,0.001,1.5155017819504832,6.797415903765774
0.25,0.6,2.4,0.11375,0.290840198104274,0.001,1.515715390402733,6.796705011426615
0.25,0.6,2.4,0.11375,0.3002221399786054,0.001,1.5159100953658138,6.805361820134927
0.25,0.6,2.4,0.11375,0.30960408185293686,0.001,1.5160907543535809,6.810686664220318
0.25,0.6,2.4,0.11375,0.31898602372726825,0.001,1.5162599848984237,6.805674387236603
0.25,0.6,2.4,0.11375,0.3283679656015997,0.001,1.516418304535713,6.801049748231241
0.25,0.6,2.4,0.11375,0.3377499074759311,0.001,1.5165672411177051,6.796840104086896
0.25,0.6,2.4,0.11375,0.34713184935026253,0.001,1.5167075654539186,6.791978169778395
0.25,0.6,2.4,0.11375,0.3565137912245939,0.001,1.5168404058565716,6.786192957395847
